order_id,session_id,user_id,order_ts,channel,device,device_id,ip_hash,shipping_pincode,city_tier,payment_method,coupon_id,gross_amount,discount_amount,shipping_amount,net_amount,promo_flag,order_status,discount_pct,signup_date,city_tier_user,segment,home_pincode,primary_device_id,risk_profile,session_ts,user_id_session,channel_session,device_session,device_id_session,ip_hash_session,pincode,promo_flag_session,item_count,total_qty,top_category,payment_attempts,failed_attempts,success_attempts,payment_failed_attempts_score,refund_flag,refund_amount,rto_flag,delivered_flag,coupon_discount_pct,high_discount_flag,coupon_used_flag,cod_flag,days_since_signup,new_user_flag,new_user_plus_coupon,prior_refunds_count,refund_history_user_flag,device_orders_count,device_reuse_score,pincode_orders_count,pincode_reuse_score,coupon_orders_user,coupon_repeat_user_flag,coupon_users_per_device,coupon_device_reuse_flag,pincode_rto_rate,high_rto_pincode_flag,net_amount_z,value_outlier_flag,risk_score,risk_band,reason_1,reason_2,reason_3
O000000002,S000000065,U001492,2025-08-03 00:45:57,email,mobile,Dc622734c09,IP39b2d81368,575439.0,2.0,card,none,1045.38,0.0,0.0,1045.38,0,PLACED,0.0,2025-06-10,2.0,regular,575439.0,Dc622734c09,normal,2025-08-03 00:39:01,U001492,email,mobile,Dc622734c09,IP39b2d81368,575439.0,0,2,2,beauty,3,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,3,0.15,60,1.0,0,0,0,0,0.0,0,-0.7528136086418248,0,9,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000005,S000000154,U001798,2025-08-03 00:52:44,search,mobile,Dc20ef0973a,IPf06db401aa,575614.0,2.0,card,shipfree,9287.66,80.0,0.0,9207.66,0,PLACED,0.8613579739137739,2025-06-22,2.0,value,575614.0,Dc20ef0973a,normal,2025-08-03 00:41:13,U001798,search,mobile,Dc20ef0973a,IPf06db401aa,575614.0,0,4,4,home,2,0,0,0.0,0.0,0.0,0.0,0.0,,0,1,0,9999,0,0,0,0,5,0.25,42,1.0,2,0,1,0,0.0,0,0.5372583707578086,0,10,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000021,S000000567,U000691,2025-08-03 02:30:57,email,web,D1f3ce98244,IPd1dbdf471c,568375.0,3.0,card,none,5497.89,0.0,0.0,5497.89,0,CANCELLED_PAYMENT_FAILED,0.0,2025-08-01,3.0,premium,568375.0,D1f3ce98244,card_tester,2025-08-03 02:26:53,U000691,email,web,D1f3ce98244,IPd1dbdf471c,568375.0,0,2,2,electronics,2,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,3,0.15,124,1.0,0,0,0,0,0.0,0,-0.5264880047474718,0,9,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000023,S000000627,U002547,2025-08-03 03:15:32,referral,mobile,Dacb47420e9,IPb15f41c072,575439.0,3.0,upi,none,1332.85,0.0,0.0,1332.85,0,PLACED,0.0,2025-08-02,3.0,value,575439.0,Dacb47420e9,normal,2025-08-03 03:03:29,U002547,referral,mobile,Dacb47420e9,IPb15f41c072,575439.0,0,1,1,home,2,0,0,0.0,1.0,1332.85,0.0,0.0,,0,0,0,9999,0,0,2,1,2,0.1,60,1.0,0,0,0,0,0.0,0,-0.8683065447329816,0,17,Low,PINCODE_REUSE,REFUND_HISTORY,DEVICE_REUSE
O000000014,S000000384,U000762,2025-08-03 03:26:09,paid_social,mobile,D0a0700ad95,IP708da5de32,579260.0,1.0,netbanking,none,384.6,0.0,82.16,466.76,0,PLACED,0.0,2025-07-30,1.0,regular,579260.0,D0a0700ad95,normal,2025-08-03 03:21:49,U000762,paid_social,mobile,D0a0700ad95,IP708da5de32,579260.0,0,2,2,beauty,2,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,1,0.05,64,1.0,0,0,0,0,0.0,0,-0.838986514911443,0,8,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000001,S000000056,,2025-08-03 03:58:38,referral,mobile,D_G_02da183771,IPbf0fda5f0c,566103.0,,upi,none,7151.27,0.0,0.0,7151.27,0,PLACED,0.0,,,,,,,2025-08-03 03:55:22,,referral,mobile,D_G_02da183771,IPbf0fda5f0c,566103.0,0,3,3,books,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,1,0.05,1,0.05,0,0,0,0,0.0,0,0.49993337287966044,0,1,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000006,S000000156,U002291,2025-08-03 04:20:01,organic,mobile,Dfd55d944d6,IP5ad57ec07d,569539.0,2.0,card,none,229.0,0.0,88.98,317.98,0,PLACED,0.0,2025-07-22,2.0,value,569539.0,Dfd55d944d6,normal,2025-08-03 04:15:19,U002291,organic,mobile,Dfd55d944d6,IP5ad57ec07d,569539.0,0,1,1,grocery,2,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,2,0.1,138,1.0,0,0,0,0,0.0,0,-0.6575838927576887,0,9,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000009,S000000227,U001389,2025-08-03 04:49:11,organic,web,D725819239f,IP7c511754b4,578600.0,2.0,card,flash40,4596.19,500.0,0.0,4096.19,0,PLACED,10.87857551580766,2025-05-27,2.0,value,578600.0,D725819239f,normal,2025-08-03 04:47:05,U001389,organic,web,D725819239f,IP7c511754b4,578600.0,0,2,2,beauty,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,1,0,9999,0,0,0,0,1,0.05,55,1.0,1,0,1,0,0.0,0,-0.29846159146921697,0,8,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000003,S000000086,U000430,2025-08-03 08:43:49,organic,mobile,D52f834cf1d,IP1b361b0033,575842.0,2.0,card,none,9170.26,0.0,0.0,9170.26,0,PLACED,0.0,2025-05-30,2.0,regular,575842.0,D52f834cf1d,normal,2025-08-03 08:40:37,U000430,organic,mobile,D52f834cf1d,IP1b361b0033,575842.0,0,4,4,fashion,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,9999,0,0,0,0,2,0.1,58,1.0,0,0,0,0,0.0,0,0.805272406535069,0,9,Low,PINCODE_REUSE,DEVICE_REUSE,
O000000007,S000000164,U002385,2025-08-03 10:47:34,search,web,D8794f6e350,IP20b404bb84,569539.0,1.0,cod,none,8958.06,0.0,0.0,8958.06,0,PLACED,0.0,2025-07-02,1.0,regular,569539.0,D8794f6e350,normal,2025-08-03 10:44:38,U002385,search,web,D8794f6e350,IP20b404bb84,569539.0,0,4,4,beauty,1,0,0,0.0,0.0,0.0,0.0,0.0,,0,0,1,9999,0,0,1,0,3,0.15,138,1.0,0,0,0,0,0.0,0,0.42560855440384193,0,15,Low,PINCODE_REUSE,COD_ORDER,DEVICE_REUSE
