user_id,week_start,orders_count,net_revenue,refunds_count,refund_amount,coupon_orders_count,avg_discount_pct,cod_orders_count,rto_count,payment_failures_count,risk_score_avg
U000001,2025-09-22,1,4358.65,0.0,0.0,0,0.0,0,0.0,0,14.0
U000001,2025-11-24,1,637.09,0.0,0.0,0,0.0,0,0.0,0,14.0
U000001,2026-01-19,1,6498.72,0.0,0.0,0,0.0,0,0.0,0,14.0
U000003,2026-01-19,1,9037.76,0.0,0.0,0,0.0,0,0.0,0,13.0
U000005,2025-08-18,1,503.31,0.0,0.0,0,0.0,0,0.0,0,15.0
U000005,2025-09-29,1,9545.49,1.0,9545.49,0,0.0,0,0.0,0,15.0
U000005,2025-11-17,1,509.66,0.0,0.0,0,0.0,0,0.0,0,15.0
U000005,2025-12-01,1,262.15,0.0,0.0,0,0.0,0,0.0,0,15.0
U000006,2025-09-08,1,458.97,1.0,458.97,0,0.0,0,0.0,0,13.0
U000007,2025-08-04,1,2611.71,1.0,2611.71,1,2.97,0,0.0,0,15.0
U000007,2025-09-08,1,9463.87,0.0,0.0,0,0.0,0,0.0,0,15.0
U000007,2025-10-06,1,7309.71,0.0,0.0,0,0.0,0,0.0,0,15.0
U000007,2025-11-10,1,519.33,0.0,0.0,0,0.0,1,0.0,0,21.0
U000008,2025-08-25,1,719.13,0.0,0.0,0,0.0,0,0.0,0,14.0
U000008,2025-09-08,1,748.82,0.0,0.0,1,25.0,1,0.0,0,20.0
U000008,2025-12-08,1,929.62,0.0,0.0,0,0.0,0,0.0,0,14.0
U000009,2025-09-22,1,3039.38,0.0,0.0,0,0.0,0,0.0,0,13.0
U000015,2025-12-15,1,4128.24,0.0,0.0,0,0.0,1,0.0,0,19.0
U000016,2025-11-24,1,246.49,0.0,0.0,0,0.0,0,0.0,0,13.0
U000018,2025-08-04,1,3958.49,0.0,0.0,1,3.65,1,0.0,0,19.0
U000018,2025-09-15,1,2249.82,0.0,0.0,0,0.0,1,0.0,0,19.0
U000019,2026-01-12,1,8234.44,0.0,0.0,1,1.79,0,0.0,0,13.0
U000020,2025-09-29,1,1049.59,0.0,0.0,0,0.0,0,0.0,0,13.0
