rank,order_id,user_id,order_ts,net_amount,payment_method,coupon_id,shipping_pincode,risk_score,risk_band,reason_1,evidence_1,reason_2,evidence_2,reason_3,evidence_3,recommended_action,discount_pct,failed_attempts,device_orders_count,pincode_orders_count,days_since_signup,prior_refunds_count
1,O000000186,U001930,2025-08-11 22:22:15,6958.21,cod,none,563967.0,58,High,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,0.0,0,27,168,9999,3
2,O000000739,U001947,2025-09-03 18:07:38,8699.24,cod,flash40,565894.0,54,High,COUPON_DEVICE_REUSE,coupon_users_per_device=4,COUPON_REPEAT_USER,coupon_orders_user=3,PINCODE_REUSE,pincode_orders_count=127,MANUAL_REVIEW,5.435231606089199,0,14,127,9999,0
3,O000003582,U000841,2025-12-25 21:08:10,5824.83,cod,shipfree,569539.0,54,High,COUPON_DEVICE_REUSE,coupon_users_per_device=5,COUPON_REPEAT_USER,coupon_orders_user=3,PINCODE_REUSE,pincode_orders_count=138,MANUAL_REVIEW,1.3548230855079657,0,15,138,9999,0
4,O000001964,U000841,2025-10-21 00:56:05,2272.99,cod,welcome20,569539.0,54,High,COUPON_DEVICE_REUSE,coupon_users_per_device=5,COUPON_REPEAT_USER,coupon_orders_user=3,PINCODE_REUSE,pincode_orders_count=138,MANUAL_REVIEW,9.908877958295516,0,15,138,9999,0
5,O000004469,U000841,2026-01-25 13:23:41,1058.22,cod,flat150,569539.0,54,High,COUPON_DEVICE_REUSE,coupon_users_per_device=5,COUPON_REPEAT_USER,coupon_orders_user=3,PINCODE_REUSE,pincode_orders_count=138,MANUAL_REVIEW,12.41495754084521,0,15,138,9999,0
6,O000004492,U000841,2026-01-26 15:34:40,207.39,cod,none,569539.0,54,High,COUPON_DEVICE_REUSE,coupon_users_per_device=5,COUPON_REPEAT_USER,coupon_orders_user=3,PINCODE_REUSE,pincode_orders_count=138,MANUAL_REVIEW,0.0,0,15,138,9999,0
7,O000004554,U001430,2026-01-28 02:10:57,23442.3,cod,none,568518.0,53,High,COUPON_DEVICE_REUSE,coupon_users_per_device=4,DEVICE_REUSE,device_orders_count=19,PINCODE_REUSE,pincode_orders_count=164,MANUAL_REVIEW,0.0,0,19,164,9999,0
8,O000000339,U001930,2025-08-17 09:03:15,9707.53,upi,flash40,563967.0,52,High,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,4.898344653407827,0,27,168,9999,3
9,O000001123,U001930,2025-09-18 21:55:59,9264.48,card,none,563967.0,52,High,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,0.0,0,27,168,9999,3
10,O000002562,U001930,2025-11-13 16:28:48,8618.14,card,flash40,563967.0,52,High,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,5.483574500939885,0,27,168,9999,3
11,O000001459,U001930,2025-10-01 22:42:41,6122.65,upi,none,563967.0,52,High,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,0.0,0,27,168,9999,3
12,O000000475,U001930,2025-08-23 01:54:00,4365.5,upi,none,563967.0,52,High,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,0.0,0,27,168,9999,3
13,O000003442,U001930,2025-12-19 11:16:50,4065.96,card,none,563967.0,52,High,COUPON_DEVICE_REUSE,coupon_users_per_device=8,DEVICE_REUSE,device_orders_count=27,PINCODE_REUSE,pincode_orders_count=168,MANUAL_REVIEW,0.0,0,27,168,9999,3
14,O000002681,U001947,2025-11-18 18:56:31,8503.11,upi,none,565894.0,48,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,COUPON_REPEAT_USER,coupon_orders_user=3,PINCODE_REUSE,pincode_orders_count=127,MANUAL_REVIEW,0.0,0,14,127,9999,0
15,O000001154,U001947,2025-09-19 21:27:11,6783.06,card,flash40,565894.0,48,Medium,COUPON_DEVICE_REUSE,coupon_users_per_device=4,COUPON_REPEAT_USER,coupon_orders_user=3,PINCODE_REUSE,pincode_orders_count=127,MANUAL_REVIEW,6.865246201459277,0,14,127,9999,0
