order_id,product_id,quantity,unit_price
O000000001,P0204,2,765.68
O000000001,P0140,1,4338.01
O000000001,P0016,2,640.95
O000000002,P0251,2,145.62
O000000002,P0029,3,251.38
O000000003,P0097,1,219.95
O000000003,P0235,3,1511.47
O000000003,P0061,1,919.94
O000000003,P0080,3,1165.32
O000000004,P0211,3,771.56
O000000004,P0013,3,956.63
O000000005,P0077,3,1289.72
O000000005,P0106,2,97.4
O000000005,P0238,1,4197.54
O000000005,P0019,1,1026.16
O000000006,P0183,1,229.0
O000000007,P0209,3,1939.07
O000000007,P0243,2,595.56
O000000007,P0167,3,569.78
O000000007,P0108,1,240.39
O000000008,P0099,2,387.16
O000000008,P0071,1,244.82
O000000008,P0063,1,208.04
O000000008,P0076,1,1501.41
O000000009,P0260,3,1332.85
O000000009,P0054,1,597.64
O000000010,P0055,3,3116.86
O000000010,P0159,1,1103.2
O000000010,P0148,1,674.33
O000000010,P0070,2,595.87
O000000011,P0064,2,855.65
O000000011,P0169,1,1165.5
O000000011,P0031,3,239.07
O000000011,P0084,1,913.73
O000000012,P0199,3,3427.05
O000000012,P0011,2,3183.21
O000000013,P0038,2,376.7
O000000013,P0247,3,600.94
O000000013,P0111,1,1653.8
O000000013,P0241,2,321.57
O000000014,P0232,1,216.83
O000000014,P0044,1,167.77
O000000015,P0147,1,1813.55
O000000016,P0083,1,1021.81
O000000016,P0158,2,844.46
O000000017,P0194,3,5639.7
O000000017,P0128,2,3339.89
O000000017,P0127,2,626.72
O000000017,P0242,3,2772.71
O000000018,P0060,2,559.15
O000000018,P0094,2,97.56
O000000018,P0020,1,482.13
O000000019,P0218,1,338.72
O000000019,P0254,2,275.2
O000000019,P0191,2,248.74
O000000019,P0171,2,173.11
O000000020,P0130,2,800.0
O000000020,P0119,3,171.2
O000000020,P0097,3,219.95
O000000020,P0094,2,97.56
O000000021,P0011,1,3183.21
O000000021,P0211,3,771.56
O000000022,P0141,1,1529.69
O000000022,P0106,3,97.4
O000000022,P0186,3,172.55
O000000023,P0260,1,1332.85
O000000024,P0259,2,5328.55
O000000025,P0033,3,476.13
O000000025,P0153,1,293.43
O000000025,P0191,2,248.74
O000000026,P0221,3,243.98
O000000027,P0049,3,158.35
O000000027,P0109,3,980.42
O000000027,P0032,1,813.55
O000000027,P0219,1,863.53
O000000028,P0207,2,1487.4
O000000028,P0026,1,3039.38
O000000028,P0198,1,1551.7
O000000029,P0202,3,2946.54
O000000030,P0031,3,239.07
O000000030,P0257,2,589.97
O000000030,P0226,1,879.87
O000000030,P0220,2,1745.88
O000000031,P0242,3,2772.71
O000000031,P0241,3,321.57
O000000031,P0252,3,670.64
O000000032,P0056,2,200.3
O000000032,P0147,1,1813.55
O000000032,P0193,3,576.46
O000000032,P0004,3,1607.47
O000000033,P0132,1,2635.21
O000000033,P0205,3,1049.59
O000000033,P0003,1,719.42
O000000034,P0009,2,2162.5
O000000034,P0171,3,173.11
O000000034,P0052,3,111.31
O000000035,P0049,3,158.35
O000000036,P0108,3,240.39
O000000036,P0135,1,1234.43
O000000036,P0198,2,1551.7
O000000037,P0117,3,3061.63
O000000038,P0089,3,141.21
O000000038,P0225,1,908.27
O000000038,P0210,1,3531.38
O000000039,P0223,1,1924.97
O000000039,P0156,2,120.71
O000000040,P0244,1,1255.6
O000000041,P0050,2,1000.58
O000000041,P0163,1,233.09
O000000041,P0127,1,626.72
O000000041,P0093,1,1247.52
O000000042,P0045,3,853.56
O000000042,P0103,2,307.09
O000000043,P0040,1,459.96
O000000043,P0155,1,229.8
O000000044,P0156,2,120.71
O000000045,P0008,2,635.96
O000000045,P0027,1,662.73
O000000046,P0040,2,459.96
O000000047,P0176,2,4160.75
O000000047,P0053,1,9080.08
O000000047,P0001,3,943.15
O000000047,P0133,3,229.05
O000000048,P0251,1,145.62
O000000049,P0217,2,1400.56
O000000049,P0040,1,459.96
O000000050,P0234,3,1499.41
O000000050,P0202,2,2946.54
O000000050,P0141,3,1529.69
O000000051,P0008,1,635.96
O000000051,P0149,2,903.97
O000000052,P0248,1,617.61
O000000052,P0107,2,654.89
O000000052,P0199,3,3427.05
O000000052,P0183,3,229.0
O000000053,P0107,2,654.89
O000000053,P0130,2,800.0
O000000053,P0246,3,919.05
O000000053,P0249,2,2110.11
O000000054,P0105,1,5475.98
O000000054,P0054,2,597.64
O000000055,P0110,3,76.97
O000000056,P0227,3,143.83
O000000057,P0169,3,1165.5
O000000057,P0139,1,274.85
O000000057,P0055,2,3116.86
O000000057,P0242,3,2772.71
O000000058,P0183,3,229.0
O000000058,P0172,2,174.46
O000000059,P0001,1,943.15
O000000059,P0182,1,719.4
O000000059,P0093,1,1247.52
O000000059,P0076,1,1501.41
O000000060,P0094,3,97.56
O000000060,P0028,2,365.49
O000000060,P0005,3,398.24
O000000060,P0212,17,1458.07
O000000061,P0168,2,708.49
O000000061,P0126,3,397.21
O000000061,P0006,2,3249.36
O000000061,P0155,3,229.8
O000000062,P0176,1,4160.75
O000000062,P0249,2,2110.11
O000000063,P0005,1,398.24
O000000063,P0130,2,800.0
O000000063,P0038,2,376.7
O000000064,P0154,3,669.33
O000000064,P0225,1,908.27
O000000064,P0203,1,100.64
O000000064,P0245,3,198.62
O000000065,P0083,3,1021.81
O000000065,P0163,1,233.09
O000000065,P0130,3,800.0
O000000065,P0118,3,710.39
O000000066,P0038,1,376.7
O000000067,P0042,2,2742.72
O000000068,P0174,1,7007.31
O000000068,P0142,3,1601.54
O000000069,P0086,1,585.2
O000000069,P0117,1,3061.63
O000000069,P0045,2,853.56
O000000070,P0131,2,2208.18
O000000071,P0236,1,2584.97
O000000072,P0170,1,962.11
O000000072,P0053,2,9080.08
O000000072,P0198,2,1551.7
O000000073,P0042,1,2742.72
O000000074,P0055,3,3116.86
O000000075,P0170,3,962.11
O000000075,P0185,2,634.09
O000000075,P0106,1,97.4
O000000075,P0138,2,825.36
O000000076,P0201,2,770.58
O000000076,P0237,1,405.01
O000000076,P0130,3,800.0
O000000076,P0043,3,727.81
O000000077,P0005,3,398.24
O000000077,P0101,1,792.34
O000000077,P0217,3,1400.56
O000000077,P0076,3,1501.41
