order_id,session_id,user_id,order_ts,channel,device,device_id,ip_hash,shipping_pincode,city_tier,payment_method,coupon_id,gross_amount,discount_amount,shipping_amount,net_amount,promo_flag,order_status
O000000001,S000000056,,2025-08-03T03:58:38,referral,mobile,D_G_02da183771,IPbf0fda5f0c,566103,,UPI,,7151.27,0.0,0.0,7151.27,0,PLACED
O000000002,S000000065,U001492,2025-08-03T00:45:57,email,mobile,Dc622734c09,IP39b2d81368,575439,2,Card,,1045.38,0.0,0.0,1045.38,0,PLACED
O000000003,S000000086,U000430,2025-08-03T08:43:49,organic,mobile,D52f834cf1d,IP1b361b0033,575842,2,Card,,9170.26,0.0,0.0,9170.26,0,PLACED
O000000004,S000000137,U002435,2025-08-03T16:40:31,organic,web,D8331820412,IP396d8b38d5,563967,1,UPI,,5184.57,0.0,0.0,5184.57,0,PLACED
O000000005,S000000154,U001798,2025-08-03T00:52:44,search,mobile,Dc20ef0973a,IPf06db401aa,575614,2,Card,SHIPFREE,9287.66,80.0,0.0,9207.66,0,PLACED
O000000006,S000000156,U002291,2025-08-03T04:20:01,organic,mobile,Dfd55d944d6,IP5ad57ec07d,569539,2,Card,,229.0,0.0,88.98,317.98,0,PLACED
O000000007,S000000164,U002385,2025-08-03T10:47:34,search,web,D8794f6e350,IP20b404bb84,569539,1,COD,,8958.06,0.0,0.0,8958.06,0,PLACED
O000000008,S000000171,U002662,2025-08-03T11:50:32,organic,mobile,Db4afefa832,IP461f5c4e5c,572769,1,UPI,,2728.59,0.0,0.0,2728.59,0,PLACED
O000000009,S000000227,U001389,2025-08-03T04:49:11,organic,web,D725819239f,IP7c511754b4,578600,2,Card,FLASH40,4596.19,500.0,0.0,4096.19,0,PLACED
O000000010,S000000264,,2025-08-03T17:11:41,search,mobile,D_G_e360126a1f,IPef8d3c2227,569589,,Card,,12319.85,0.0,0.0,12319.85,0,CANCELLED_PAYMENT_FAILED
O000000011,S000000298,U001170,2025-08-03T20:07:51,organic,web,D22abcc3a33,IP894141f301,563967,1,Card,,4507.74,0.0,0.0,4507.74,0,PLACED
O000000012,S000000334,U001736,2025-08-03T10:49:49,search,web,Db59a019a63,IP0524dd9cf0,579260,1,Card,,16647.57,0.0,0.0,16647.57,0,PLACED
O000000013,S000000377,U000152,2025-08-03T17:04:12,referral,mobile,D1d3288f109,IPb0c8351798,579266,2,Card,,4853.16,0.0,0.0,4853.16,0,PLACED
O000000014,S000000384,U000762,2025-08-03T03:26:09,paid_social,mobile,D0a0700ad95,IP708da5de32,579260,1,NetBanking,,384.6,0.0,82.16,466.76,0,PLACED
O000000015,S000000386,U002052,2025-08-03T16:23:21,referral,web,Dc9b476352f,IP43aca88218,578418,2,COD,,1813.55,0.0,0.0,1813.55,0,PLACED
O000000016,S000000425,U001385,2025-08-03T14:56:03,organic,web,Df0e122aa06,IP85c2248554,574573,3,Card,,2710.73,0.0,0.0,2710.73,0,PLACED
O000000017,S000000444,U002061,2025-08-03T10:59:32,referral,web,D93aef875d8,IP1b226e6170,563967,3,COD,,33170.45,0.0,0.0,33170.45,0,PLACED
O000000018,S000000467,U003032,2025-08-03T22:15:53,organic,mobile,Dbb114f4e07,IP1e3a8bbe53,569539,2,COD,,1795.55,0.0,0.0,1795.55,0,PLACED
O000000019,S000000499,U000300,2025-08-04T00:01:22,organic,web,D271063e664,IPe347a53c18,578963,2,COD,,1732.82,0.0,0.0,1732.82,0,PLACED
O000000020,S000000521,U000266,2025-08-03T21:27:21,search,web,Dc76a2a7266,IP76fc3b38e4,572901,2,UPI,CPN008,2968.57,150.0,0.0,2818.57,0,PLACED
O000000021,S000000567,U000691,2025-08-03T02:30:57,email,web,D1f3ce98244,IPd1dbdf471c,568375,3,Card,,5497.89,0.0,0.0,5497.89,0,CANCELLED_PAYMENT_FAILED
O000000022,S000000592,U002851,2025-08-03T18:46:37,search,mobile,Dff46ca38c6,IP26b941f8fd,579260,2,COD,,2339.54,0.0,0.0,2339.54,0,PLACED
O000000023,S000000627,U002547,2025-08-03T03:15:32,referral,mobile,Dacb47420e9,IPb15f41c072,575439,3,UPI,,1332.85,0.0,0.0,1332.85,0,PLACED
O000000024,S000000644,U002585,2025-08-03T23:17:05,Search,web,D3daf40afc6,IPded681b0a8,573828,2,COD,,10657.1,0.0,0.0,10657.1,0,PLACED
O000000025,S000000653,U000596,2025-08-04T07:05:50,organic,web,D3b07e94220,IP538a05423d,568375,3,NetBanking,,2219.3,0.0,0.0,2219.3,0,PLACED
O000000026,S000000689,U000830,2025-08-04T08:28:46,email,web,D3ad8313ef6,IP9443ea0427,575139,2,COD,,731.94,0.0,0.0,731.94,0,PLACED
O000000027,S000000704,,2025-08-04T17:18:00,organic,mobile,D_G_1f1732887a,IP255f33ff2a,565106,,NetBanking,,5093.39,0.0,0.0,5093.39,0,PLACED
O000000028,S000000723,U001428,2025-08-04T12:54:28,email,web,D930ecaf744,IP5bfdd14d44,575139,3,Card,,7565.88,0.0,0.0,7565.88,0,PLACED
O000000029,S000000774,U002956,2025-08-04T12:19:31,search,web,D9902bf8529,IP42b0cd28bb,574621,3,Wallet,,8839.62,0.0,0.0,8839.62,0,PLACED
O000000030,S000000814,U000162,2025-08-04T03:17:37,referral,web,D7c6428b695,IP8d9f351126,578896,1,Card,,6268.78,0.0,0.0,6268.78,0,PLACED
O000000031,S000000852,U001377,2025-08-04T16:00:03,organic,web,D74b462de9a,IP6f95652d79,568518,2,UPI,,11294.76,0.0,0.0,11294.76,0,PLACED
O000000032,S000000882,U001819,2025-08-04T17:47:39,email,web,D61d0a5049d,IP8c6c06fadd,568375,2,Card,,8765.94,0.0,0.0,8765.94,0,PLACED
O000000033,S000000896,U001676,2025-08-04T08:19:10,search,web,Dcd40fe5b7d,IP79b65d1ddd,577965,2,COD,,6503.4,0.0,0.0,6503.4,0,PLACED
O000000034,S000000931,U001684,2025-08-04T02:43:01,search,web,Dfe43e658d0,IP09c825e87f,577899,3,Card,FLASH40,5178.26,500.0,0.0,4678.26,0,PLACED
O000000035,S000000961,U001946,2025-08-04T13:40:26,Organic,web,D1ffe380358,IP31478b0574,575439,1,COD,,475.05,0.0,73.2,548.25,0,PLACED
O000000036,S000000979,U001541,2025-08-04T23:08:35,referral,web,D4ca4741c58,IPf975321202,569190,2,COD,,5059.0,0.0,0.0,5059.0,0,PLACED
O000000037,S000000987,U000405,2025-08-04T20:51:45,search,web,D9058e8c75e,IP63efe1a6d0,569190,1,Card,FLAT150,9184.89,150.0,0.0,9034.89,0,PLACED
O000000038,S000000997,U002782,2025-08-04T22:23:14,referral,mobile,D6078dabd18,IP0d5106fe3f,577548,2,Card,,4863.28,0.0,0.0,4863.28,0,PLACED
O000000039,S000001026,U000648,2025-08-04T02:59:07,email,web,D642660bdd4,IPf03a3cde21,572901,2,Card,,2166.39,0.0,0.0,2166.39,0,PLACED
O000000040,S000001047,U003141,2025-08-04T06:09:31,organic,mobile,D_RING_03,IP_RING_SHAR,569539,2,UPI,CPN009,1255.6,80.0,0.0,1175.6,0,PLACED
O000000041,S000001055,U000018,2025-08-04T14:34:23,referral,web,Db5a52fb31d,IPaa6b6b51d0,573828,1,COD,FLAT150,4108.49,150.0,0.0,3958.49,0,PLACED
O000000042,S000001063,U002135,2025-08-04T15:41:16,organic,mobile,Dcfd411e49c,IP7db6f149c6,574252,2,Card,,3174.86,0.0,0.0,3174.86,0,PLACED
O000000043,S000001064,U001420,2025-08-04T02:13:56,search,mobile,Ddaace2bec1,IPd451345a4c,,2,Card,,689.76,0.0,0.0,689.76,0,PLACED
O000000044,S000001073,U000691,2025-08-04T15:24:53,search,web,D1f3ce98244,IP44adf79846,568375,3,Card,,241.42,0.0,72.03,313.45,0,PLACED
O000000045,S000001099,U000573,2025-08-04T08:07:52,email,web,Dde151dce39,IP3d48408ccd,577522,2,Card,,1934.65,0.0,0.0,1934.65,0,PLACED
O000000046,S000001109,U002199,2025-08-05T16:01:08,paid_social,mobile,D5db462e7f3,IP4170ce3c16,568518,3,Card,,919.92,0.0,0.0,919.92,0,PLACED
O000000047,S000001132,U002926,2025-08-05T15:50:33,search,mobile,Da7afc6cbe0,IP7210812321,572398,2,COD,,20918.18,0.0,0.0,20918.18,0,PLACED
O000000048,S000001137,U000509,2025-08-05T23:54:54,search,mobile,D4317becc64,IP8dd1faaf54,572495,2,NetBanking,,145.62,0.0,60.63,206.25,0,PLACED
O000000049,S000001149,U001289,2025-08-05T13:47:04,email,web,Df2a41c3bf6,IP0a6ce7aed8,579260,1,COD,SHIPFREE,3261.08,80.0,0.0,3181.08,0,PLACED
O000000050,S000001164,U000152,2025-08-05T23:11:48,paid_social,mobile,D1d3288f109,IPffa3537770,579266,2,COD,,14980.38,0.0,0.0,14980.38,0,PLACED
O000000051,S000001219,U001885,2025-08-05T21:30:01,referral,web,Dcd2f117f70,IP4c4b84eaca,572788,3,Card,CPN012,2443.9,244.39,0.0,2199.51,0,PLACED
O000000052,S000001256,U001021,2025-08-05T07:43:47,organic,web,D6c46429610,IPc98cf21871,568375,2,COD,CPN014,12895.54,120.0,0.0,12775.54,0,PLACED
O000000053,S000001303,U000791,2025-08-05T14:26:51,organic,web,Dbcbe999a09,IP1a885f6bcd,575588,1,UPI,SHIPFREE,9887.15,80.0,0.0,9807.15,0,CANCELLED_PAYMENT_FAILED
O000000054,S000001345,U002613,2025-08-05T10:17:56,search,web,D7a70411816,IP56e5dad482,579236,3,Card,,6671.26,0.0,0.0,6671.26,0,PLACED
O000000055,S000001398,U002850,2025-08-05T16:12:57,email,mobile,D9d1cea9b45,IP42904bc6ad,574597,2,Card,,230.91,0.0,44.26,275.17,0,PLACED
O000000056,S000001405,U000580,2025-08-05T09:54:52,referral,mobile,D4da2e89182,IP6042f6cc04,576074,1,Card,,431.49,0.0,94.19,525.68,0,PLACED
O000000057,S000001511,U002812,2025-08-05T09:14:32,search,web,D294fd84ad6,IP94199a1214,575842,1,COD,,18323.2,0.0,0.0,18323.2,0,PLACED
O000000058,S000001512,U001760,2025-08-05T22:01:49,organic,mobile,D66875dfff2,IPa0cda1e04d,575139,2,COD,,1035.92,0.0,0.0,1035.92,0,PLACED
O000000059,S000001537,U001175,2025-08-05T08:35:31,paid_social,mobile,D483fa83ddd,IP265fa07f96,576334,2,UPI,,4411.48,0.0,0.0,4411.48,0,PLACED
O000000060,S000001538,U000333,2025-08-05T21:47:52,search,mobile,D8b962f1938,IP7b567fd9d0,577545,2,UPI,FLASH40,27005.57,500.0,0.0,26505.57,0,PLACED
O000000061,S000001553,U001101,2025-08-05T02:48:20,email,web,Deb539e4781,IP41eef518be,579609,2,UPI,,9796.73,0.0,0.0,9796.73,0,PLACED
O000000062,S000001562,U000860,2025-08-05T09:46:10,organic,web,D9bca1632d0,IPad9c82d07b,575438,3,Card,,8380.97,0.0,0.0,8380.97,0,PLACED
O000000063,S000001567,U002712,2025-08-05T16:43:39,organic,web,D0184d4556d,IP85fe001f0b,575674,2,UPI,,2751.64,0.0,0.0,2751.64,0,PLACED
O000000064,S000001572,,2025-08-05T12:35:35,email,mobile,D_G_SHARED_02,IPd1ff322dac,567465,,COD,,3612.76,0.0,0.0,3612.76,0,PLACED
O000000065,S000001602,U002954,2025-08-05T20:08:52,search,mobile,Dae68b18bd9,IPd629ea11f7,571647,2,Card,FLASH40,7829.69,500.0,0.0,7329.69,0,PLACED
O000000066,S000001608,U001761,2025-08-05T03:07:10,paid_social,web,D4ce9f38333,IP9cf90c50c4,571631,2,Card,GROC10,376.7,0.0,92.94,469.64,0,PLACED
O000000067,S000001631,,2025-08-06T22:22:47,paid_social,web,D_G_98816e18e3,IP7d3ced8bd0,568920,,UPI,,5485.44,0.0,0.0,5485.44,0,PLACED
O000000068,S000001690,U000901,2025-08-06T16:15:13,organic,mobile,De4fa120d7d,IP742142163c,572149,2,Card,,11811.93,0.0,0.0,11811.93,0,PLACED
O000000069,S000001721,,2025-08-06T17:32:49,referral,web,D_G_75189dc04e,IP023854929f,561982,,Card,,5353.95,0.0,0.0,5353.95,0,PLACED
O000000070,S000001733,U002508,2025-08-06T13:56:58,organic,mobile,D2f44e18126,IP24e2948bc8,568375,2,COD,,4416.36,0.0,0.0,4416.36,0,PLACED
O000000071,S000001744,U000616,2025-08-06T18:49:21,search,web,D277b222823,IP8eb9da69f8,574573,1,Card,CPN008,2584.97,150.0,0.0,2434.97,0,PLACED
O000000072,S000001784,U001921,2025-08-06T02:22:59,organic,mobile,D46b53757b0,IP8ffbdcb15b,563967,1,Card,,22225.67,0.0,0.0,22225.67,0,PLACED
O000000073,S000001838,U001212,2025-08-06T05:28:52,search,mobile,D9fba2f3be7,IPe77867cc32,574441,2,COD,,2742.72,0.0,0.0,2742.72,0,PLACED
O000000074,S000001840,U002875,2025-08-06T12:45:19,search,web,D72a058b749,IP8f043d0bc1,577522,2,NetBanking,,9350.58,0.0,0.0,9350.58,0,PLACED
O000000075,S000001876,U000995,2025-08-06T03:32:27,email,mobile,Dc8cf294de8,IP28d0195b69,568518,2,Card,,5902.63,0.0,0.0,5902.63,0,PLACED
O000000076,S000001890,U002900,2025-08-06T10:04:32,organic,web,Da47079d296,IP33e9c3c2b7,565285,2,NetBanking,,6529.6,0.0,0.0,6529.6,0,PLACED
O000000077,S000001914,U001895,2025-08-06T19:11:24,referral,web,D2752d105e4,IPec4b6ffd79,573709,1,COD,CPN012,10692.97,300.0,0.0,10392.97,0,PLACED
O000000078,S000001916,U001036,2025-08-06T03:45:34,search,mobile,D6fdaac98ae,IPb64b0fa2b2,575439,2,Card,,881.18,0.0,0.0,881.18,0,PLACED
