payment_id,order_id,attempt_no,payment_ts,payment_method,payment_status,failure_reason,amount
PAY000000001,O000000001,1,2025-08-03T04:12:12,UPI,SUCCESS,,7151.27
PAY000000002,O000000002,1,2025-08-03T00:54:04,Card,FAILED,INSUFFICIENT_FUNDS,1045.38
PAY000000003,O000000002,2,2025-08-03T00:52:47,Card,FAILED,INSUFFICIENT_FUNDS,1045.38
PAY000000004,O000000002,3,2025-08-03T00:51:35,Card,SUCCESS,,1045.38
PAY000000005,O000000003,1,2025-08-03T08:46:24,Card,SUCCESS,,9170.26
PAY000000006,O000000004,1,2025-08-03T16:47:53,UPI,SUCCESS,,5184.57
PAY000000007,O000000005,1,2025-08-03T00:54:45,Card,FAILED,INSUFFICIENT_FUNDS,9207.66
PAY000000008,O000000005,2,2025-08-03T01:01:54,Card,SUCCESS,,9207.66
PAY000000009,O000000006,1,2025-08-03T04:24:35,Card,FAILED,INSUFFICIENT_FUNDS,317.98
PAY000000010,O000000006,2,2025-08-03T04:26:18,Card,SUCCESS,,317.98
PAY000000011,O000000007,1,2025-08-03T10:49:45,COD,SUCCESS,,8958.06
PAY000000012,O000000008,1,2025-08-03T12:01:37,UPI,SUCCESS,,2728.59
PAY000000013,O000000009,1,2025-08-03T05:06:30,Card,SUCCESS,,4096.19
PAY000000014,O000000010,1,2025-08-03T17:15:45,Card,FAILED,UPI_PIN_ERROR,12319.85
PAY000000015,O000000011,1,2025-08-03T20:14:07,Card,SUCCESS,,4507.74
PAY000000016,O000000012,1,2025-08-03T11:06:40,Card,SUCCESS,,16647.57
PAY000000017,O000000013,1,2025-08-03T17:11:23,Card,SUCCESS,,4853.16
PAY000000018,O000000014,1,2025-08-03T03:32:26,NetBanking,FAILED,CARD_DECLINED,466.76
PAY000000019,O000000014,2,2025-08-03T03:37:59,NetBanking,SUCCESS,,466.76
PAY000000020,O000000015,1,2025-08-03T16:26:06,COD,SUCCESS,,1813.55
PAY000000021,O000000016,1,2025-08-03T15:06:40,Card,SUCCESS,,2710.73
PAY000000022,O000000017,1,2025-08-03T11:03:21,COD,SUCCESS,,33170.45
PAY000000023,O000000018,1,2025-08-03T22:19:45,COD,SUCCESS,,1795.55
PAY000000024,O000000019,1,2025-08-04T00:02:46,COD,SUCCESS,,1732.82
PAY000000025,O000000020,1,2025-08-03T21:42:44,UPI,SUCCESS,,2818.57
PAY000000026,O000000021,1,2025-08-03T02:32:05,Card,FAILED,UPI_PIN_ERROR,5497.89
PAY000000027,O000000021,2,2025-08-03T02:37:40,Card,FAILED,CARD_DECLINED,5497.89
PAY000000028,O000000022,1,2025-08-03T18:48:50,COD,SUCCESS,,2339.54
PAY000000029,O000000023,1,2025-08-03T03:21:55,UPI,FAILED,CARD_DECLINED,1332.85
PAY000000030,O000000023,2,2025-08-03T03:20:09,UPI,SUCCESS,,1332.85
PAY000000031,O000000024,1,2025-08-03T23:18:47,COD,SUCCESS,,10657.1
PAY000000032,O000000025,1,2025-08-04T07:12:03,NetBanking,FAILED,BANK_TIMEOUT,2219.3
PAY000000033,O000000025,2,2025-08-04T07:17:47,NetBanking,SUCCESS,,2219.3
PAY000000034,O000000026,1,2025-08-04T08:30:32,COD,SUCCESS,,731.94
PAY000000035,O000000027,1,2025-08-04T17:21:58,NetBanking,SUCCESS,,5093.39
PAY000000036,O000000028,1,2025-08-04T13:02:01,Card,SUCCESS,,7565.88
PAY000000037,O000000029,1,2025-08-04T12:38:09,Wallet,SUCCESS,,8839.62
PAY000000038,O000000030,1,2025-08-04T03:23:05,Card,FAILED,CARD_DECLINED,6268.78
PAY000000039,O000000030,2,2025-08-04T03:33:25,Card,SUCCESS,,6268.78
PAY000000040,O000000031,1,2025-08-04T16:08:54,UPI,FAILED,INSUFFICIENT_FUNDS,11294.76
PAY000000041,O000000031,2,2025-08-04T16:09:39,UPI,SUCCESS,,11294.76
PAY000000042,O000000032,1,2025-08-04T17:51:25,Card,SUCCESS,,8765.94
